Date,Stock,Entry,Exit,Qty,Invested,PnL,PnL_%,Cumulative_PnL,Result,Stop_Loss,Target,RF_Conf,XGB_Conf
2025-06-26,SBIN.NS,797.05,805.4,1.0,797.05,8.35,1.05,11.84,HOLD_CLOSE,778.75,833.65,0.654,0.792
2025-06-27,SBIN.NS,805.4,820.35,1.0,805.4,14.95,1.86,26.79,HOLD_CLOSE,787.08,842.04,0.657,0.752
2025-06-30,SBIN.NS,820.35,820.3,1.0,820.35,-0.05,-0.01,26.74,HOLD_CLOSE,801.67,857.72,0.607,0.614
2025-07-01,SBIN.NS,820.3,812.9,1.0,820.3,-7.4,-0.9,19.34,HOLD_CLOSE,801.7,857.49,0.563,0.742
2025-07-02,SBIN.NS,812.9,807.1,1.0,812.9,-5.8,-0.71,13.54,HOLD_CLOSE,794.02,850.66,0.613,0.869
2025-07-03,SBIN.NS,807.1,811.85,1.0,807.1,4.75,0.59,18.29,HOLD_CLOSE,788.64,844.03,0.619,0.883
2025-07-04,SBIN.NS,811.85,806.85,1.0,811.85,-5.0,-0.62,13.29,HOLD_CLOSE,793.66,848.23,0.636,0.872
2025-07-07,SBIN.NS,806.85,812.65,1.0,806.85,5.8,0.72,19.09,HOLD_CLOSE,789.16,842.24,0.614,0.807
2025-07-08,SBIN.NS,812.65,810.95,1.0,812.65,-1.7,-0.21,17.39,HOLD_CLOSE,795.34,847.27,0.593,0.859
2025-07-09,SBIN.NS,810.95,808.0,1.0,810.95,-2.95,-0.36,14.44,HOLD_CLOSE,794.49,843.88,0.617,0.834
2025-07-10,SBIN.NS,808.0,808.65,1.0,808.0,0.65,0.08,15.09,HOLD_CLOSE,791.79,840.42,0.589,0.773
2025-07-11,SBIN.NS,808.65,808.85,1.0,808.65,0.2,0.02,15.29,HOLD_CLOSE,792.74,840.47,0.588,0.777
2025-07-15,SBIN.NS,816.45,831.7,1.0,816.45,15.25,1.87,30.54,HOLD_CLOSE,800.69,847.98,0.528,0.665
2025-07-16,SBIN.NS,831.7,829.0,1.0,831.7,-2.7,-0.32,27.84,HOLD_CLOSE,815.04,865.03,0.548,0.618
2025-07-17,SBIN.NS,829.0,823.35,1.0,829.0,-5.65,-0.68,22.19,HOLD_CLOSE,811.8,863.41,0.603,0.831
2025-07-18,SBIN.NS,823.35,824.2,1.0,823.35,0.85,0.1,23.04,HOLD_CLOSE,806.05,857.96,0.599,0.854
2025-07-21,SBIN.NS,824.2,815.0,1.0,824.2,-9.2,-1.12,13.84,HOLD_CLOSE,807.13,858.35,0.566,0.762
2025-07-22,SBIN.NS,815.0,820.65,1.0,815.0,5.65,0.69,19.49,HOLD_CLOSE,797.64,849.72,0.571,0.769
2025-07-23,SBIN.NS,820.65,815.7,1.0,820.65,-4.95,-0.6,14.54,HOLD_CLOSE,803.06,855.83,0.591,0.809
2025-07-24,SBIN.NS,815.7,806.55,1.0,815.7,-9.15,-1.12,5.39,HOLD_CLOSE,798.16,850.79,0.58,0.689
2025-07-25,SBIN.NS,806.55,797.15,1.0,806.55,-9.4,-1.17,-4.01,HOLD_CLOSE,788.79,842.07,0.568,0.823
2025-07-30,SBIN.NS,801.65,796.55,1.0,801.65,-5.1,-0.64,-9.11,HOLD_CLOSE,784.78,835.39,0.547,0.638
2025-07-31,SBIN.NS,796.55,794.0,1.0,796.55,-2.55,-0.32,-11.66,HOLD_CLOSE,779.68,830.29,0.544,0.793
2025-08-01,SBIN.NS,794.0,795.7,1.0,794.0,1.7,0.21,-9.96,HOLD_CLOSE,777.37,827.26,0.614,0.829
2025-08-04,SBIN.NS,795.7,800.6,1.0,795.7,4.9,0.62,-5.06,HOLD_CLOSE,779.12,828.87,0.561,0.69
2025-08-05,SBIN.NS,800.6,805.15,1.0,800.6,4.55,0.57,-0.51,HOLD_CLOSE,784.31,833.19,0.572,0.696
2025-08-06,SBIN.NS,805.15,805.15,1.0,805.15,0.0,0.0,-0.51,HOLD_CLOSE,788.82,837.81,0.571,0.68
2025-08-07,SBIN.NS,805.15,804.3,1.0,805.15,-0.85,-0.11,-1.36,HOLD_CLOSE,788.57,838.32,0.567,0.688
2025-08-08,SBIN.NS,804.3,823.45,1.0,804.3,19.15,2.38,17.79,HOLD_CLOSE,786.99,838.91,0.612,0.788
2025-08-11,SBIN.NS,823.45,820.6,1.0,823.45,-2.85,-0.35,14.94,HOLD_CLOSE,805.16,860.03,0.613,0.613
2025-08-12,SBIN.NS,820.6,821.85,1.0,820.6,1.25,0.15,16.19,HOLD_CLOSE,803.03,855.74,0.579,0.594
2025-08-13,SBIN.NS,821.85,826.55,1.0,821.85,4.7,0.57,20.89,HOLD_CLOSE,805.07,855.41,0.588,0.644
2025-08-14,SBIN.NS,826.55,827.65,1.0,826.55,1.1,0.13,21.99,HOLD_CLOSE,810.01,859.62,0.57,0.595
2025-08-18,SBIN.NS,827.65,830.4,1.0,827.65,2.75,0.33,24.74,HOLD_CLOSE,810.92,861.11,0.551,0.876
2025-08-19,SBIN.NS,830.4,828.95,1.0,830.4,-1.45,-0.17,23.29,HOLD_CLOSE,814.31,862.59,0.537,0.726
2025-08-20,SBIN.NS,828.95,825.7,1.0,828.95,-3.25,-0.39,20.04,HOLD_CLOSE,813.52,859.8,0.551,0.742
2025-08-21,SBIN.NS,825.7,816.25,1.0,825.7,-9.45,-1.14,10.59,HOLD_CLOSE,810.39,856.32,0.586,0.765
2025-08-22,SBIN.NS,816.25,816.45,1.0,816.25,0.2,0.02,10.79,HOLD_CLOSE,800.93,846.89,0.573,0.762
2025-08-25,SBIN.NS,816.45,807.85,1.0,816.45,-8.6,-1.05,2.19,HOLD_CLOSE,801.55,846.25,0.564,0.774
2025-09-01,SBIN.NS,806.05,803.9,1.0,806.05,-2.15,-0.27,0.04,HOLD_CLOSE,791.75,834.66,0.546,0.682
2025-09-02,SBIN.NS,803.9,812.15,1.0,803.9,8.25,1.03,8.29,HOLD_CLOSE,789.78,832.15,0.557,0.827
2025-09-03,SBIN.NS,812.15,809.4,1.0,812.15,-2.75,-0.34,5.54,HOLD_CLOSE,797.93,840.59,0.562,0.822
2025-09-04,SBIN.NS,809.4,806.6,1.0,809.4,-2.8,-0.35,2.74,HOLD_CLOSE,795.26,837.68,0.558,0.803
2025-09-05,SBIN.NS,806.6,808.8,1.0,806.6,2.2,0.27,4.94,HOLD_CLOSE,792.52,834.76,0.54,0.747
2025-09-08,SBIN.NS,808.8,808.85,1.0,808.8,0.05,0.01,4.99,HOLD_CLOSE,794.95,836.5,0.55,0.703
2025-09-09,SBIN.NS,808.85,818.2,1.0,808.85,9.35,1.16,14.34,HOLD_CLOSE,795.27,836.02,0.535,0.589
2025-09-10,SBIN.NS,818.2,823.65,1.0,818.2,5.45,0.67,19.79,HOLD_CLOSE,803.9,846.8,0.545,0.741
2025-09-18,SBIN.NS,854.35,862.35,1.0,854.35,8.0,0.94,27.79,HOLD_CLOSE,838.79,885.48,0.551,0.573
